"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Impressões,Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Valor de conversão da compra no site","Adições ao carrinho","Finalizações de compra iniciadas","Inclusões de informações de pagamento","ROAS (retorno sobre o investimento em publicidade) das compras","Cliques no link","Visualizações da página de destino do site",HOOKRATE,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","CTR de saída único","CPM (custo por 1.000 impressões) (BRL)","Custo por visualização da página de destino (BRL)","Custo por finalização de compra iniciada (BRL)","Custo por adição ao carrinho (BRL)","Salvamentos do post",Frequência,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão","Reproduções do vídeo por no mínimo 3 segundos","Reproduções de 25% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo"
2023-03-27,2026-04-27,[TTK4],not_delivering,20,Diário,726,738,,,,10.68,,1,,,,5,5,0.15853659,2.136,0.677507,0.688705,14.471545,2.136,,10.68,1,1.016529,–,–,–,117,77,46,29
2023-03-27,2026-04-27,[TTK4],not_delivering,20,Diário,747,774,,,,10.56,,,,,,8,6,0.14470284,1.32,1.033592,1.07095,13.643411,1.76,,,,1.036145,–,–,–,112,73,41,31
2023-03-27,2026-04-27,[TTK4],not_delivering,20,Diário,440,454,,,,8.21,,,,,,1,,0.16079295,8.21,0.220264,0.227273,18.0837,,,,,1.031818,–,–,–,73,50,31,21
2023-03-27,2026-04-27,[TTK4],not_delivering,20,Diário,772,775,,,,10.82,,,,,,5,4,0.1483871,2.164,0.645161,0.647668,13.96129,2.705,,,,1.003886,–,–,–,115,95,51,30
2023-03-27,2026-04-27,VID1,not_delivering,"Usando orçamento da campanha",0,51,51,,,,0.86,,,,,,,,0.43137255,,,,16.862745,,,,,1,–,–,–,22,5,2,1
2023-03-27,2026-04-27,VID2,not_delivering,"Usando orçamento da campanha",0,66,71,,,,2.04,,,,,,,3,0.3943662,,,,28.732394,0.68,,,,1.075758,–,–,–,28,3,1,
2023-03-27,2026-04-27,IMG,not_delivering,"Usando orçamento da campanha",0,7,7,,,,0.13,,,,,,,,0,,,,18.571429,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,VID1,not_delivering,"Usando orçamento da campanha",0,170,175,,,,4.08,,,,,,1,,0.50285714,4.08,0.571429,0.588235,23.314286,,,,,1.029412,–,–,–,88,30,13,9
2023-03-27,2026-04-27,VID1,not_delivering,"Usando orçamento da campanha",0,42,42,,,,0.89,,,,,,,,0.33333333,,,,21.190476,,,,,1,–,–,–,14,4,1,
2023-03-27,2026-04-27,VID2,not_delivering,"Usando orçamento da campanha",0,441,478,,,,15.76,,,,,,1,1,0.43723849,15.76,0.209205,0.226757,32.970711,15.76,,,,1.0839,–,–,–,209,37,16,7
